mp_id,first_name,last_name,title,cand_for,birth,natio,place_resid,region_resid
957,Eduard,Adamčík,Ing.  ,#SIEŤ ,7. 1. 1963 ,slovenská ,Košice ,Košický 
872,Ladislav,Andreánsky,MUDr.  ,SMER – sociálna demokracia ,31. 10. 1963 ,slovenská ,Liptovský Hrádok ,Žilinský kraj 
229,Eva,Antošová,Ing.  ,Slovenská národná strana ,19. 12. 1964 ,slovenská ,Nitra ,Nitriansky 
875,Michal,Bagačka,Mgr.  ,SMER – sociálna demokracia ,15. 5. 1963 ,slovenská ,Hnúšťa ,Banskobystrický kraj 
938,Radovan,Baláž,Ing.  ,Slovenská národná strana ,1. 5. 1982 ,slovenská ,Banská Bystrica ,Banskobystrický 
871,Vladimír,Baláž,"MUDr., PhD. ",SMER – sociálna demokracia ,14. 8. 1958 ,slovenská ,Banská Bystrica ,Banskobystrický kraj 
967,Alojz,Baránik,JUDr.  ,Sloboda a Solidarita ,13. 6. 1954 ,slovenská ,Bratislava ,Bratislavský 
232,Tibor,Bastrnák,MUDr.  ,MOST-HÍD ,17. 11. 1964 ,maďarská ,Komárno ,Nitriansky 
233,Jaroslav,Baška,Ing.  ,SMER – sociálna demokracia ,5. 4. 1975 ,slovenská ,Dohňany ,Trenčiansky 
758,Miroslav,Beblavý,"doc. Ing., PhD. ",#SIEŤ ,6. 1. 1977 ,slovenská ,Bratislava ,Bratislavský 
919,Martin,Beluský,"Ing., PhD. ",Kotleba - Ľudová strana Naše Slovensko ,17. 4. 1987 ,slovenská ,Piešťany ,Trnavský 
936,Tibor,Bernaťák,JUDr.  ,Slovenská národná strana ,11. 5. 1974 ,slovenská ,Bratislava ,Bratislavský 
950,Ondrej,Binder,  ,Kotleba - Ľudová strana Naše Slovensko ,11. 4. 1970 ,slovenská ,Svätý Anton ,Banskobystrický 
976,Jana,Bittó Cigániková,"Mgr., MBA ",Sloboda a Solidarita ,15. 9. 1983 ,slovenská ,Bratislava ,Bratislavský 
885,Ľuboš,Blaha,"Mgr. PhDr., PhD. ",SMER – sociálna demokracia ,7. 12. 1979 ,slovenská ,Bratislava ,Bratislavský 
777,Natália,Blahová,Mgr.  ,Sloboda a Solidarita ,19. 2. 1974 ,slovenská ,Zavar ,Trnavský 
238,Juraj,Blanár,Ing.  ,SMER – sociálna demokracia ,19. 5. 1966 ,slovenská ,Žilina ,Žilinský 
778,Dušan,Bublavý,Mgr.  ,SMER – sociálna demokracia ,4. 4. 1964 ,slovenská ,Častkovce ,Trenčiansky 
242,Jozef,Buček,Mgr.  ,SMER – sociálna demokracia ,6. 5. 1960 ,slovenská ,Košice ,Košický 
22,Ján,Budaj,  ,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA) ,10. 2. 1952 ,slovenská ,Bratislava ,Bratislavský 
23,Béla,Bugár,Ing.  ,MOST-HÍD ,7. 7. 1958 ,maďarská ,Šamorín ,Trnavský 
243,Jozef,Burian,Ing.  ,SMER – sociálna demokracia ,21. 9. 1961 ,slovenská ,Košice ,Košický 
960,Katarína,Cséfalvayová,"Ing., PhD. ",#SIEŤ ,19. 4. 1985 ,maďarská ,Dunajská Streda ,Trnavský 
882,Gabriel,Csicsai,"MVDr., PhD. ",MOST-HÍD ,21. 12. 1968 ,maďarská ,Dunajská Streda ,Trnavský kraj 
244,Dušan,Čaplovič,"doc. PhDr., DrSc. ",SMER – sociálna demokracia ,18. 9. 1946 ,slovenská ,Bratislava ,Bratislavský 
246,Miroslav,Číž,JUDr.  ,SMER – sociálna demokracia ,11. 2. 1954 ,slovenská ,Štiavnické Bane  ,Banskobystrický 
929,Andrej,Danko,JUDr.  ,Slovenská národná strana ,12. 8. 1974 ,slovenská ,Miloslavov ,Bratislavský 
779,Ondrej,Dostál,Mgr.  ,Sloboda a Solidarita ,5. 4. 1971 ,ukrajinská , , 
780,Juraj,Droba,"Mgr., MBA MA ",Sloboda a Solidarita ,25. 5. 1971 ,slovenská ,Bratislava ,Bratislavský 
951,Stanislav,Drobný,Bc.  ,Kotleba - Ľudová strana Naše Slovensko ,10. 6. 1970 ,slovenská ,Piešťany ,Trnavský 
911,Viera,Dubačová,Mgr. art.  ,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA) ,19. 7. 1962 ,slovenská ,Banská Bystrica ,Banskobystrický 
812,Lucia,Ďuriš Nicholsonová,  ,Sloboda a Solidarita ,28. 11. 1976 ,slovenská ,Bratislava ,Bratislavský 
973,Emil,Ďurovčík,Ing.  ,SMER – sociálna demokracia ,3. 8. 1957 ,slovenská ,Sliepkovce ,Košický 
36,Vladimír,Faič,RSDr.  ,SMER – sociálna demokracia ,15. 7. 1948 ,slovenská ,Prašice ,Nitriansky 
931,Karol,Farkašovský,"Mgr., PhD. ",Slovenská národná strana ,17. 8. 1955 ,slovenská ,Bratislava ,Bratislavský 
783,Martin,Fecko,Ing.  ,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA) ,8. 10. 1962 ,slovenská , , 
653,Martin,Fedor,"Mgr., MEconSc. ",#SIEŤ ,4. 3. 1974 ,slovenská ,Trenčianske Teplice ,Trenčiansky 
914,Soňa,Gaborčáková,PhDr.  ,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA) ,20. 8. 1977 ,slovenská ,Stará Ľubovňa ,Prešovský 
258,Gábor,Gál,Mgr.  ,MOST-HÍD ,22. 11. 1974 ,maďarská ,Veľká Mača ,Trnavský 
966,Karol,Galek,"RNDr., MSc. ",Sloboda a Solidarita ,14. 7. 1979 ,slovenská ,Svit ,Prešovský 
656,Dušan,Galis,Mgr.  ,SMER – sociálna demokracia ,24. 11. 1949 ,slovenská ,Bratislava ,Bratislavský 
785,Ľubomír,Galko,Mgr.  ,Sloboda a Solidarita ,14. 2. 1968 ,slovenská , , 
658,Tibor,Glenda,Ing.  ,SMER – sociálna demokracia ,22. 7. 1955 ,slovenská ,Alekšince ,Nitriansky 
659,Martin,Glváč,JUDr.  ,SMER – sociálna demokracia ,20. 11. 1967 ,slovenská ,Bratislava ,Bratislavský 
927,Ľudovít,Goga,Ing.  ,SME RODINA - Boris Kollár ,5. 2. 1969 ,slovenská ,Bratislava ,Bratislavský 
738,Pavol,Goga,PaedDr.  ,SMER – sociálna demokracia ,24. 6. 1963 ,slovenská ,Topoľčany ,Nitriansky 
948,Natália,Grausová,MUDr.  ,Kotleba - Ľudová strana Naše Slovensko ,4. 12. 1953 ,slovenská ,Bratislava ,Bratislavský 
910,Gábor,Grendel,Mgr.  ,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA) ,15. 7. 1980 ,maďarská ,Bratislava ,Bratislavský 
971,Branislav,Gröhling,Mgr.  ,Sloboda a Solidarita ,6. 4. 1974 ,slovenská ,Bratislava ,Bratislavský 
874,Augustín,Hambálek,Ing.  ,SMER – sociálna demokracia ,16. 7. 1957 ,slovenská ,Trnava ,Trnavský kraj 
909,Eduard,Heger,Ing.  ,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA) ,3. 5. 1976 ,slovenská ,Bratislava ,Bratislavský 
925,Rastislav,Holúbek,  ,SME RODINA - Boris Kollár ,23. 7. 1977 ,slovenská ,Bratislava ,Bratislavský 
881,Andrej,Hrnčiar,Mgr. art.  ,#SIEŤ ,10. 7. 1973 ,slovenská ,Dolný Kalník ,Žilinský kraj 
382,Anton,Hrnko,"PhDr., CSc. ",Slovenská národná strana ,31. 1. 1955 ,slovenská ,Stupava ,Bratislavský 
790,Igor,Choma,Ing.  ,SMER – sociálna demokracia ,28. 1. 1964 ,slovenská ,Žilina ,Žilinský 
219,Peter,Chudík,MUDr.  ,SMER – sociálna demokracia ,18. 2. 1961 ,slovenská ,Záborské ,Prešovský 
968,Miroslav,Ivan,Ing.  ,Sloboda a Solidarita ,13. 8. 1966 ,slovenská ,Banská Bystrica ,Banskobystrický 
710,Elemér,Jakab,Mgr.  ,MOST-HÍD ,5. 7. 1967 ,maďarská ,Veľké Raškovce ,Košický 
961,Igor,Janckulík,  ,#SIEŤ ,7. 8. 1968 ,slovenská ,Krušetnica ,Žilinský 
978,Tibor,Jančula,  ,Slovenská národná strana ,16. 6. 1969 ,slovenská ,Bernolákovo ,Bratislavský 
818,Mária,Janíková,PhDr.  ,SMER – sociálna demokracia ,18. 11. 1970 ,slovenská ,Partizánske ,Trenčiansky 
61,Dušan,Jarjabek,doc. Mgr. art.  ,SMER – sociálna demokracia ,4. 3. 1953 ,slovenská ,Bratislava ,Bratislavský 
891,Jozef,Ježík,MUDr.  ,SMER – sociálna demokracia ,21. 6. 1967 ,slovenská ,Zvolen ,Banskobystrický kraj 
795,Erika,Jurinová,Ing.  ,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA) ,31. 8. 1971 ,slovenská ,Nižná ,Žilinský 
796,Eugen,Jurzyca,Ing.  ,Sloboda a Solidarita ,8. 2. 1958 ,slovenská , , 
880,Ladislav,Kamenický,Ing.  ,SMER – sociálna demokracia ,4. 10. 1970 ,slovenská ,Bratislava ,Bratislavský 
964,Renáta,Kaščáková,Mgr.  ,Sloboda a Solidarita ,28. 10. 1965 ,slovenská ,Trenčín ,Trenčiansky 
953,Ján,Kecskés,Mgr.  ,Kotleba - Ľudová strana Naše Slovensko ,18. 9. 1989 ,slovenská ,Nitra ,Nitriansky 
873,Marián,Kéry,Mgr.  ,SMER – sociálna demokracia ,6. 2. 1978 ,slovenská ,Červený Hrádok ,Nitriansky kraj 
799,Jana,Kiššová,Ing.  ,Sloboda a Solidarita ,23. 11. 1974 ,slovenská ,Bratislava ,Bratislavský 
963,Martin,Klus,"doc. PhDr., PhD., MBA ",Sloboda a Solidarita ,8. 6. 1980 ,slovenská ,Banská Bystrica ,Banskobystrický 
933,Stanislav,Kmec,  ,Slovenská národná strana ,30. 10. 1965 ,slovenská ,Snežnica ,Žilinský 
946,Juraj,Kolesár,  ,Kotleba - Ľudová strana Naše Slovensko ,29. 7. 1978 ,slovenská ,Košice ,Košický 
917,Boris,Kollár,  ,SME RODINA - Boris Kollár ,14. 8. 1965 ,slovenská ,Bratislava ,Bratislavský 
275,Maroš,Kondrót,Ing.  ,SMER – sociálna demokracia ,6. 11. 1960 ,slovenská ,Bratislava ,Bratislavský 
944,Marian,Kotleba,Ing. Mgr.  ,Kotleba - Ľudová strana Naše Slovensko ,7. 4. 1977 ,slovenská ,Banská Bystrica ,Banskobystrický 
949,Martin,Kotleba,Ing.  ,Kotleba - Ľudová strana Naše Slovensko ,12. 3. 1978 ,slovenská ,Banská Bystrica ,Banskobystrický 
907,Marek,Krajčí,MUDr.  ,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA) ,24. 3. 1974 ,slovenská ,Bratislava ,Bratislavský 
726,Mikuláš,Krajkovič,Mgr.  ,SMER – sociálna demokracia ,13. 4. 1968 ,rusínska ,Vápeník ,Prešovský 
920,Milan,Krajniak,Bc.  ,SME RODINA - Boris Kollár ,30. 1. 1973 ,slovenská ,Bratislava ,Bratislavský 
77,Peter,Kresák,"doc. JUDr., CSc. ",MOST-HÍD ,24. 4. 1954 ,slovenská ,Bratislava ,Bratislavský 
922,Petra,Krištúfková,Bc.  ,SME RODINA - Boris Kollár ,8. 4. 1977 ,slovenská ,Bratislava ,Bratislavský 
955,Peter,Krupa,  ,Kotleba - Ľudová strana Naše Slovensko ,2. 10. 1980 ,slovenská ,Nová Dubnica ,Trenčiansky 
668,Stanislav,Kubánek,Ing.  ,SMER – sociálna demokracia ,13. 9. 1951 ,slovenská ,Prešov ,Prešovský 
935,Magdaléna,Kuciaňová,JUDr.  ,Slovenská národná strana ,14. 10. 1956 ,slovenská ,Moravany nad Váhom ,Trnavský 
671,Ján,Kvorka,  ,SMER – sociálna demokracia ,28. 1. 1955 ,slovenská ,Blatnica  ,Žilinský 
278,Jana,Laššáková,JUDr.  ,SMER – sociálna demokracia ,22. 5. 1952 ,slovenská ,Vlkanová ,Banskobystrický 
847,Milan,Laurenčík,Ing.  ,Sloboda a Solidarita ,23. 9. 1958 ,slovenská ,Terchová ,Žilinský 
280,Daniel,Lipšic,"JUDr., LL.M. ",OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA) ,8. 7. 1973 ,slovenská ,Bratislava ,Bratislavský 
912,Jozef,Lukáč,PhDr.  ,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA) ,26. 1. 1974 ,slovenská ,Záborské ,Prešovský 
310,Róbert,Madej,"JUDr., PhD. ",SMER – sociálna demokracia ,3. 1. 1981 ,slovenská ,Bratislava ,Bratislavský 
958,Katarína,Macháčková,JUDr.  ,#SIEŤ ,27. 7. 1970 ,slovenská ,Prievidza ,Trenčiansky 
921,Peter,Marček,  ,SME RODINA - Boris Kollár ,23. 12. 1953 ,slovenská ,Bratislava ,Bratislavský 
676,Vladimír,Matejička,Mgr.  ,SMER – sociálna demokracia ,14. 1. 1956 ,slovenská ,Komárno ,Nitriansky 
808,Igor,Matovič,Mgr.  ,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA) ,11. 5. 1973 ,slovenská ,Trnava ,Trnavský 
975,Milan,Mazurek,Bc.  ,Kotleba - Ľudová strana Naše Slovensko ,24. 1. 1994 ,slovenská ,Spišská Belá ,Prešovský 
809,Jozef,Mihál,RNDr.  ,Sloboda a Solidarita ,18. 3. 1965 ,slovenská ,Slovenský Grob ,Bratislavský 
954,Stanislav,Mizík,Mgr.  ,Kotleba - Ľudová strana Naše Slovensko ,11. 11. 1963 ,slovenská ,Rovné ,Banskobystrický 
678,Milan,Mojš,Ing.  ,SMER – sociálna demokracia ,11. 11. 1956 ,slovenská ,Likavka ,Žilinský 
322,Dušan,Muňko,Ing.  ,SMER – sociálna demokracia ,24. 9. 1944 ,slovenská ,Bratislava ,Bratislavský 
899,Peter,Náhlik,"PhDr., PhD. ",SMER – sociálna demokracia ,18. 8. 1981 ,slovenská ,Trnava ,Trnavský kraj 
679,Oľga,Nachtmannová,"Mgr., PhD. ",SMER – sociálna demokracia ,14. 7. 1963 ,slovenská ,Bratislava ,Bratislavský 
956,Jana,Nehézová,Ing.  ,Kotleba - Ľudová strana Naše Slovensko ,25. 2. 1975 ,slovenská ,Staré Hory ,Banskobystrický 
974,Martin,Nemky,"Ing., MBA ",SMER – sociálna demokracia ,10. 3. 1980 ,slovenská ,Nitra ,Nitriansky 
100,Peter,Osuský,"MUDr., CSc. ",Sloboda a Solidarita ,11. 10. 1953 ,slovenská ,Bratislava ,Bratislavský 
937,Peter,Pamula,Bc.  ,Slovenská národná strana ,18. 2. 1971 ,slovenská ,Dobšiná ,Košický 
870,Milan,Panáček,Ing.  ,SMER – sociálna demokracia ,23. 7. 1977 ,slovenská ,Dohňany ,Trenčiansky kraj 
103,Jaroslav,Paška,akad. arch. Ing. arch.  ,Slovenská národná strana ,20. 6. 1954 ,slovenská ,Bratislava ,Bratislavský 
681,Pavol,Pavlis,Ing.  ,SMER – sociálna demokracia ,12. 1. 1961 ,slovenská ,Pezinok ,Bratislavský 
928,Adriana,Pčolinská,"doc. PaedDr. , PhD. ",SME RODINA - Boris Kollár ,7. 8. 1978 ,slovenská ,Bratislava ,Bratislavský 
923,Peter,Pčolinský,Mgr.  ,SME RODINA - Boris Kollár ,6. 4. 1982 ,slovenská ,Nižný Hrabovec ,Prešovský 
682,Peter,Pellegrini,Ing.  ,SMER – sociálna demokracia ,6. 10. 1975 ,slovenská ,Banská Bystrica ,Banskobystrický 
683,Ľubomír,Petrák,"Ing., CSc. ",SMER – sociálna demokracia ,6. 8. 1961 ,slovenská ,Hurbanova Ves  ,Bratislavský 
962,Simona,Petrík,Mgr.  ,#SIEŤ ,10. 11. 1982 ,slovenská ,Bratislava ,Bratislavský 
843,Edita,Pfundtner,Mgr.  ,MOST-HÍD ,30. 1. 1973 ,maďarská ,Bratislava ,Bratislavský 
685,Ján,Podmanický,"JUDr. PhDr., PhD. ",SMER – sociálna demokracia ,17. 5. 1977 ,slovenská ,Stará Bystrica  ,Žilinský 
759,Martin,Poliačik,Mgr.  ,Sloboda a Solidarita ,27. 6. 1980 ,slovenská ,Bratislava ,Bratislavský 
760,Radoslav,Procházka,"doc. JUDr., PhD. J.S.D. ",#SIEŤ ,31. 3. 1972 ,slovenská ,Bratislava ,Bratislavský 
879,Róbert,Puci,Ing.  ,SMER – sociálna demokracia ,13. 6. 1973 ,slovenská ,Trebišov ,Košický kraj 
965,Jozef,Rajtár, Dip Mgmt ,Sloboda a Solidarita ,12. 1. 1977 ,slovenská ,Bratislava ,Bratislavský 
761,Richard,Raši,"MUDr., PhD., MPH ",SMER – sociálna demokracia ,2. 4. 1971 ,slovenská ,Košice ,Košický 
905,Veronika,Remišová,"Mgr. art., M.A., ArtD.  ",OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA) ,31. 5. 1976 ,slovenská ,Bratislava ,Bratislavský 
932,Jaroslav,Ridoško,"MUDr., PhD. MBA ",Slovenská národná strana ,8. 7. 1958 ,slovenská ,Trenčín ,Trenčiansky 
696,Ján,Senko,PhDr.  ,SMER – sociálna demokracia ,11. 7. 1958 ,slovenská ,Očová ,Banskobystrický 
915,Silvia,Shahzad,Mgr.  ,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA) ,28. 5. 1976 ,slovenská ,Nitrianske Pravno ,Trenčiansky 
945,Rastislav,Schlosár,JUDr.  ,Kotleba - Ľudová strana Naše Slovensko ,28. 5. 1984 ,slovenská ,Bacúrov ,Banskobystrický 
697,Zsolt,Simon,Ing.  ,MOST-HÍD ,26. 8. 1970 ,maďarská ,Padarovce ,Banskobystrický 
970,Vladimír,Sloboda,Ing.  ,Sloboda a Solidarita ,8. 7. 1979 ,slovenská ,Bratislava ,Bratislavský 
972,Eva,Smolíková,Mgr.  ,Slovenská národná strana ,24. 12. 1963 ,slovenská ,Dolný Ohaj ,Nitriansky 
765,László,Sólymos,Ing.  ,MOST-HÍD ,8. 7. 2010 ,maďarská , , 
916,Miroslav,Sopko,Mgr.  ,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA) ,25. 1. 1975 ,slovenská ,Zalužice ,Košický 
906,Alan,Suchánek,MUDr.  ,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA) ,22. 11. 1953 ,slovenská ,Piešťany ,Trnavský 
127,František,Šebej,"PhDr., CSc. ",MOST-HÍD ,11. 5. 1947 ,slovenská ,Bratislava ,Bratislavský 
924,Zuzana,Šebová,Ing.  ,SME RODINA - Boris Kollár ,22. 3. 1969 ,slovenská ,Levice ,Nitriansky 
918,Martina,Šimkovičová,Mgr. PaedDr.  ,SME RODINA - Boris Kollár ,29. 8. 1971 ,slovenská ,Bratislava ,Bratislavský 
926,Peter,Štarchoň,"prof. Mgr., PhD. ",SME RODINA - Boris Kollár ,22. 2. 1971 ,slovenská ,Demandice ,Nitriansky 
769,Peter,Šuca,PaedDr.  ,SMER – sociálna demokracia ,8. 9. 1968 ,slovenská ,Nová Lesná ,Prešovský 
930,Dušan,Tittel,Ing.  ,Slovenská národná strana ,27. 12. 1966 ,slovenská ,Bratislava ,Bratislavský 
947,Milan,Uhrík,"Ing., PhD. ",Kotleba - Ľudová strana Naše Slovensko ,21. 12. 1984 ,slovenská ,Nitra ,Nitriansky 
705,Jozef,Valocký,MUDr.  ,SMER – sociálna demokracia ,26. 11. 1956 ,slovenská ,Galanta ,Trnavský 
732,Jana,Vaľová,PhDr.  ,SMER – sociálna demokracia ,8. 7. 1965 ,slovenská ,Humenné ,Prešovský 
861,Richard,Vašečka,Mgr.  ,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA) ,3. 11. 1973 ,slovenská ,Svederník ,Žilinský 
913,Anna,Verešová,Mgr.  ,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA) ,25. 4. 1964 ,slovenská ,Kamenná Poruba ,Žilinský 
773,Jozef,Viskupič,Mgr.  ,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA) ,8. 2. 1976 ,slovenská ,Trnava ,Trnavský 
149,Štefan,Zelník,"MUDr., PhD. ",Slovenská národná strana ,22. 12. 1954 ,slovenská ,Žilina ,Žilinský 
969,Anna,Zemanová,RNDr.  ,Sloboda a Solidarita ,12. 9. 1959 ,slovenská ,Bratislava ,Bratislavský 
959,Alena,Zvarová Bašistová,"doc. PhDr., PhD. ",#SIEŤ ,30. 10. 1976 ,slovenská ,Košice ,Košický 
908,Oto,Žarnay,Mgr.  ,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA) ,18. 3. 1969 ,slovenská ,Košice ,Košický 
775,Ľubomír,Želiezka,  ,SMER – sociálna demokracia ,22. 7. 1950 ,slovenská ,Bánovce nad Bebravou ,Trenčiansky 
692,Lucia,Žitňanská,"doc. JUDr., PhD. ",MOST-HÍD ,3. 6. 1964 ,slovenská ,Bratislava ,Bratislavský 
792,Ľubomír,Jahnátek,"prof. Ing., CSc. ",SMER – sociálna demokracia ,16. 9. 1954 ,slovenská , , 
293,Ľubomír,Vážny,Ing.  ,SMER – sociálna demokracia ,15. 7. 1957 ,slovenská ,Banská Bystrica ,Banskobystrický 
979,Irén,Sárközy,Ing. JUDr.  ,MOST-HÍD ,2. 3. 1970 ,maďarská ,Dunajská Streda ,Trnavský 
841,Péter,Vörös,Mgr.  ,MOST-HÍD ,3. 4. 1966 ,maďarská ,Komárno ,Nitriansky 
980,Ján,Mora,  ,Kotleba - Ľudová strana Naše Slovensko ,13. 2. 1984 ,slovenská ,Brezno ,Banskobystrický 
940,Erik,Tomáš,Mgr.  ,SMER – sociálna demokracia ,15. 6. 1975 ,slovenská ,Bratislava ,Bratislavský 
981,Peter,Antal,Mgr.  ,MOST-HÍD ,11. 7. 1972 ,slovenská ,Žiar nad Hronom ,Banskobystrický 
982,Ján,Marosz,Mgr.  ,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA) ,18. 6. 1978 ,slovenská ,Podhorie ,Žilinský 
983,Zuzana,Zimenová,Mgr.  ,#SIEŤ ,18. 9. 1965 ,slovenská ,Šamorín ,Trnavský 
257,Darina,Gabániová,"MUDr., PhD. ",SMER – sociálna demokracia ,20. 8. 1955 ,slovenská ,Čataj ,Bratislavský 
675,Ľuboš,Martinák,Ing.  ,SMER – sociálna demokracia ,14. 7. 1958 ,slovenská ,Medzilaborce ,Prešovský 
984,Elena,Červeňáková,Mgr.  ,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA) ,1. 3. 1959 ,slovenská ,Košice ,Košický 
985,Natália,Milanová,Mgr.  ,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA) ,12. 6. 1982 ,slovenská ,Bratislava ,Bratislavský 
986,Radoslav,Pavelka,Mgr.  ,Sloboda a Solidarita ,23. 8. 1973 ,slovenská ,Nitra ,Nitriansky 
672,Marek,Maďarič,Mgr.  ,SMER – sociálna demokracia ,23. 3. 1966 ,slovenská ,Ivánka pri Dunaji ,Bratislavský 
40,Robert,Fico,"doc. JUDr., CSc. ",SMER – sociálna demokracia ,15. 9. 1964 ,slovenská ,Bratislava ,Bratislavský 
271,Robert,Kaliňák,JUDr.  ,SMER – sociálna demokracia ,11. 5. 1971 ,slovenská ,Bratislava ,Bratislavský 
987,Ladislav,Balódi,Mgr.  ,MOST-HÍD ,23. 5. 1971 ,maďarská ,Vydrany ,Trnavský 
988,Juraj,Soboňa,Ing.  ,Slovenská národná strana ,3. 6. 1961 ,slovenská ,Solčany ,Nitriansky 
256,Igor,Federič,Ing.  ,SMER – sociálna demokracia ,6. 10. 1962 ,slovenská ,Bratislava ,Bratislavský 
989,Štefan,Vavrek,Mgr.  ,MOST-HÍD ,23. 9. 1982 ,rómska ,Hubovo ,Banskobystrický 
990,Marek,Mitterpák,"Ing., PhD. ",SMER – sociálna demokracia ,9. 1. 1975 ,slovenská ,Košice ,Košický 
992,Jakub,Nedoba,Mgr.  ,Sloboda a Solidarita ,16. 6. 1988 ,slovenská ,Bratislava ,Bratislavský 
991,Marián,Viskupič,RNDr. Ing.  ,Sloboda a Solidarita ,18. 10. 1977 ,slovenská ,Šúrovce ,Trnavský 
993,Marián,Chmelár,Bc.  ,Kotleba - Ľudová strana Naše Slovensko ,17. 3. 1960 ,slovenská ,Bratislava ,Bratislavský 
994,Milan,Špánik,Ing.  ,Kotleba - Ľudová strana Naše Slovensko ,2. 7. 1971 ,slovenská ,Nové  Mesto nad Váhom ,Trenčiansky 
888,Peter,Fitz,Mgr.  ,SMER – sociálna demokracia ,10. 8. 1975 ,slovenská ,Šenkvice ,Bratislavský kraj 
